,hpo_id,hpo_term,ddd_freq,metamap_freq,identifier
0,HP:0001263,global developmental delay,10.0,7.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
1,HP:0000494,downslanted palpebral fissures,8.0,2.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
2,HP:0000750,delayed speech and language development,5.0,4.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
3,HP:0000319,smooth philtrum,5.0,3.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
4,HP:0000369,low-set ears,4.0,2.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
5,HP:0001357,plagiocephaly,4.0,2.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
6,HP:0010864,"intellectual disability, severe",4.0,7.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
7,HP:0011344,severe global developmental delay,4.0,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
8,HP:0000729,autistic behavior,4.0,114.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
9,HP:0000664,synophrys,4.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
10,HP:0000508,ptosis,3.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
11,HP:0001956,truncal obesity,3.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
12,HP:0002019,constipation,3.0,6.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
13,HP:0001249,intellectual disability,3.0,56.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
14,HP:0000637,long palpebral fissure,3.0,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
15,HP:0011343,moderate global developmental delay,3.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
16,HP:0000316,hypertelorism,3.0,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
17,HP:0003196,short nose,3.0,4.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
18,HP:0002342,"intellectual disability, moderate",3.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
19,HP:0000256,macrocephaly,3.0,2.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
20,HP:0004322,short stature,3.0,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
21,HP:0005280,depressed nasal bridge,3.0,4.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
22,HP:0000540,hypermetropia,2.0,2.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
23,HP:0002020,gastroesophageal reflux,2.0,5.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
24,HP:0002059,cerebral atrophy,2.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
25,HP:0000717,autism,2.0,71.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
26,HP:0002286,fair hair,2.0,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
27,HP:0000219,thin upper lip vermilion,2.0,9.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
28,HP:0011220,prominent forehead,2.0,11.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
29,HP:0000280,coarse facial features,2.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
30,HP:0000028,cryptorchidism,2.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
31,HP:0011304,broad thumb,2.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
32,HP:0000358,posteriorly rotated ears,2.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
33,HP:0000252,microcephaly,2.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
34,HP:0000218,high palate,2.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
35,HP:0011342,mild global developmental delay,2.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
36,HP:0000965,cutis marmorata,2.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
37,HP:0001631,atrial septal defect,2.0,2.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
38,HP:0000506,telecanthus,2.0,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
39,HP:0008070,sparse hair,2.0,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
40,HP:0000486,strabismus,2.0,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
41,HP:0000687,widely spaced teeth,2.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
42,HP:0001382,joint hypermobility,2.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
43,HP:0001252,muscular hypotonia,2.0,13.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
44,HP:0000272,malar flattening,2.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
45,HP:0001007,hirsutism,2.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
46,HP:0000337,broad forehead,2.0,1.0,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
47,HP:0002780,bronchomalacia,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
48,HP:0000520,proptosis,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
49,HP:0000737,irritability,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
50,HP:0100559,lower limb asymmetry,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
51,HP:0000396,overfolded helix,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
52,HP:0001507,growth abnormality,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
53,HP:0000348,high forehead,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
54,HP:0002002,deep philtrum,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
55,HP:0001100,heterochromia iridis,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
56,HP:0001548,overgrowth,1.0,,"ADNP,MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28"
