name	HPO.term	HPO.label	HPO.level	gene	disease.name	literature_model	ddd_model	OV	OVG
0	HP:0025267	Snoring	6	SMC1A;FOXP1;AHDC1	CORNELIA DE LANGE SYNDROME TYPE 2;MENTAL RETARDATION WITH LANGUAGE IMPAIRMENT AND AUTISTIC FEATURES;XIA-GIBBS SYNDROME	LIT:54x;LIT:22x;LIT:1x		LIT	LIT:54x;LIT:22x;LIT:1x
1	HP:0025372	Loud snoring	7						
2	HP:0003310	Abnormality of the odontoid process	7						
3	HP:0025374	Duplicated odontoid process	8						
4	HP:0005667	Os odontoideum	8						
5	HP:0025375	Orthotopic os odontoideum	9						
6	HP:0033093	Increased glutamine family amino acid level in urine	9						
7	HP:0025376	Hyperglutaminuria	10						
8	HP:0025204	Triggered by	2						
9	HP:0025377	Triggered by exertion	3						
10	HP:0001317	Abnormal cerebellum morphology	8	STXBP1;SLC6A1;POGZ;MED13L;KIF1A;IQSEC2;CDK13;CACNA1A;AHDC1	EPILEPTIC ENCEPHALOPATHY EARLY INFANTILE TYPE 4;EPILEPSY WITH MYOCLONIC-ATONIC SEIZURES;INTELLECTUAL DISABILITY;NESCAV SYNDROME;MENTAL RETARDATION X-LINKED TYPE 1;Syndromic INTELLECTUAL DISABILITY with or without congenital heart disease;EPILEPTIC ENCEPHALOPATHY;XIA-GIBBS SYNDROME	LIT:57x;LIT:53x;LIT:43x;LIT:42x;LIT:36x;LIT:28x;LIT:9x;LIT:8x;LIT:1x		LIT	LIT:57x;LIT:53x;LIT:43x;LIT:42x;LIT:36x;LIT:28x;LIT:9x;LIT:8x;LIT:1x
11	HP:0030915	Cerebellar edema	9						
12	HP:0010438	Abnormal ventricular septum morphology	6	CREBBP	RUBINSTEIN-TAYBI SYNDROME TYPE 1		DDD:11x	DDD	DDD:11x
13	HP:0030957	Ventricular septal aneurysm	7						
14	HP:0030958	Membranous ventricular septal aneurysm	8						
15	HP:0030959	Muscular ventricular septal aneurysm	8						
16	HP:0040286	Abnormal axial muscle morphology	5						
17	HP:0040287	Axial muscle atrophy	6						
18	HP:0011968	Feeding difficulties	5	ZC4H2;USP9X;GNB2;USP7;WDR37;DNM1L;TRIP12;TRIO;TCF4;TBL1XR1;STXBP1;SRCAP;SMC1A;SETD5;SATB2;PURA;PTPN11;POGZ;MED13L;MECP2;KMT2D;KMT2A;KDM5B;KCNQ2;KAT6B;KAT6A;IQSEC2;HUWE1;HDAC8;GRIN2B;FOXP1;EP300;EFTUD2;DYRK1A;DYNC1H1;DDX3X;CTNNB1;CREBBP;CHD7;CDK13;AUTS2;ATRX;ASXL3;ARID1B;ANKRD11;AHDC1;ADNP	ARTHROGRYPOSIS MULTIPLEX CONGENITA AND INTELLECTUAL DISABILITY;MENTAL RETARDATION, X-LINKED 99; MRX99;GNB2-related developmental disorder (monoallelic);USP7-related developmental disorder (monoallelic);SYNDROMIC INTELLECTUAL DISABILITY;DNM1L-related developmental disorder (monoallelic);TRIP12-related intellectual disability with/without autism spectrum disorder;INTELLECTUAL DISABILITY;PITT-HOPKINS SYNDROME;Pierpont syndrome;EPILEPTIC ENCEPHALOPATHY EARLY INFANTILE TYPE 4;FLOATING-HARBOR SYNDROME;EPILEPTIC ENCEPHALOPATHY;CORNELIA DE LANGE SYNDROME TYPE 2;MENTAL RETARDATION, AUTOSOMAL DOMINANT 23;GLASS SYNDROME;LEOPARD SYNDROME TYPE 1;RETT SYNDROME (RTT)[;KMT2D multiple malformations disorder;KABUKI SYNDROME;WIEDEMANN-STEINER SYNDROME;AUTISM;Autism;EPILEPTIC ENCEPHALOPATHY EARLY INFANTILE TYPE 7;SAY-BARBER-BIESECKER-YOUNG-SIMPSON SYNDROME;GENITOPATELLAR SYNDROME;MENTAL RETARDATION, AUTOSOMAL DOMINANT 32;MENTAL RETARDATION X-LINKED TYPE 1;MENTAL RETARDATION SYNDROMIC X-LINKED TURNER TYPE;Cornelia de Lange Syndrome HDAC8 X-linked dominant;CORNELIA DE LANGE-LIKE SYNDROME HDAC8 XLR;MENTAL RETARDATION, AUTOSOMAL DOMINANT 6;MENTAL RETARDATION WITH LANGUAGE IMPAIRMENT AND AUTISTIC FEATURES;RUBINSTEIN-TAYBI SYNDROME TYPE 2;MANDIBULOFACIAL DYSOSTOSIS WITH MICROCEPHALY;MENTAL RETARDATION AUTOSOMAL DOMINANT TYPE 7;SEVERE ID WITH NEURONAL MIGRATION DISORDER;SPINAL MUSCULAR ATROPHY, LOWER EXTREMITY-PREDOMINANT, AD;MENTAL RETARDATION, X-LINKED 102;MENTAL RETARDATION, AUTOSOMAL DOMINANT 19;RUBINSTEIN-TAYBI SYNDROME TYPE 1;CHARGE SYNDROME;Syndromic INTELLECTUAL DISABILITY with or without congenital heart disease;MENTAL RETARDATION SYNDROMIC X-LINKED WITH HYPOTONIC FACIES SYNDROME TYPE 1;BAINBRIDGE-ROPERS SYNDROME;MENTAL RETARDATION, AUTOSOMAL DOMINANT 12;KBG SYNDROME;XIA-GIBBS SYNDROME;MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28	LIT:73x;LIT:69x;LIT:68x;LIT:66x;LIT:64x;LIT:63x;LIT:62x;LIT:60x;LIT:57x;LIT:56x;LIT:55x;LIT:54x;LIT:52x;LIT:48x;LIT:47x;LIT:45x;LIT:43x;LIT:42x;LIT:40x;LIT:39x;LIT:38x;LIT:37x;LIT:33x;LIT:31x;LIT:30x;LIT:29x;LIT:28x;LIT:27x;LIT:26x;LIT:23x;LIT:22x;LIT:21x;LIT:19x;LIT:18x;LIT:15x;LIT:13x;LIT:12x;LIT:10x;LIT:9x;LIT:7x;LIT:6x;LIT:4x;LIT:3x;LIT:2x;LIT:1x;LIT:0x	DDD:74x;DDD:73x;DDD:71x;DDD:37x;DDD:35x;DDD:34x;DDD:29x;DDD:26x;DDD:25x;DDD:24x;DDD:23x;DDD:17x;DDD:16x;DDD:15x;DDD:14x;DDD:13x;DDD:11x;DDD:4x;DDD:0x	LIT;DDD	LIT:73x;LIT:69x;LIT:68x;LIT:66x;LIT:64x;LIT:63x;LIT:62x;LIT:60x;LIT:57x;LIT:56x;LIT:55x;LIT:54x;LIT:52x;LIT:48x;LIT:47x;LIT:45x;LIT:43x;LIT:42x;LIT:40x;LIT:39x;LIT:38x;LIT:37x;LIT:33x;LIT:31x;LIT:30x;LIT:29x;LIT:28x;LIT:27x;LIT:26x;LIT:23x;LIT:22x;LIT:21x;LIT:19x;LIT:18x;LIT:15x;LIT:13x;LIT:12x;LIT:10x;LIT:9x;LIT:7x;LIT:6x;LIT:4x;LIT:3x;LIT:2x;LIT:1x;LIT:0x;DDD:74x;DDD:73x;DDD:71x;DDD:37x;DDD:35x;DDD:34x;DDD:29x;DDD:26x;DDD:25x;DDD:24x;DDD:23x;DDD:17x;DDD:16x;DDD:15x;DDD:14x;DDD:13x;DDD:11x;DDD:4x;DDD:0x
19	HP:0040288	Nasogastric tube feeding	6						
20	HP:0001875	Neutropenia	10	USP9X	MENTAL RETARDATION, X-LINKED 99; MRX99		DDD:73x	DDD	DDD:73x
21	HP:0040289	Cyclic neutropenia	11	GATA3;DNM1L;TRIP12;STXBP1;PURA;PTPN11;POGZ;KMT2D;KCNQ2;HDAC8;FOXP1;DYRK1A;CREBBP;ADNP	HYPOPARATHYROIDISM, SENSORINEURAL DEAFNESS, AND RENAL DISEASE;DNM1L-related developmental disorder (monoallelic);TRIP12-related intellectual disability with/without autism spectrum disorder;EPILEPTIC ENCEPHALOPATHY EARLY INFANTILE TYPE 4;INTELLECTUAL DISABILITY;NOONAN SYNDROME 1;KMT2D multiple malformations disorder;EPILEPTIC ENCEPHALOPATHY EARLY INFANTILE TYPE 7;Cornelia de Lange Syndrome HDAC8 X-linked dominant;MENTAL RETARDATION WITH LANGUAGE IMPAIRMENT AND AUTISTIC FEATURES;MENTAL RETARDATION AUTOSOMAL DOMINANT TYPE 7;RUBINSTEIN-TAYBI SYNDROME TYPE 1;MENTAL RETARDATION, AUTOSOMAL DOMINANT, 28	LIT:76x;LIT:66x;LIT:64x;LIT:57x;LIT:47x;LIT:46x;LIT:43x;LIT:39x;LIT:33x;LIT:26x;LIT:22x;LIT:18x;LIT:11x;LIT:0x		LIT	LIT:76x;LIT:66x;LIT:64x;LIT:57x;LIT:47x;LIT:46x;LIT:43x;LIT:39x;LIT:33x;LIT:26x;LIT:22x;LIT:18x;LIT:11x;LIT:0x
22	HP:0011805	Abnormal skeletal muscle morphology	4						
23	HP:0040291	Skeletal muscle steatosis	5						
24	HP:0002301	Hemiplegia	8	WDR37;SCN2A;CACNA1A;ANKRD11	SYNDROMIC INTELLECTUAL DISABILITY;INFANTILE EPILEPTIC ENCEPHALOPATHY;EPILEPTIC ENCEPHALOPATHY;KBG SYNDROME	LIT:50x;LIT:8x	DDD:68x;DDD:2x	LIT;DDD	LIT:50x;LIT:8x;DDD:68x;DDD:2x
25	HP:0040292	Left hemiplegia	9						
26	HP:0040293	Right hemiplegia	9						
27	HP:0030809	Abnormal tongue morphology	9						
28	HP:0040294	Duplicated tongue	10						
29	HP:0000177	Abnormality of upper lip	9	POGZ;KMT2A;CTNNB1	INTELLECTUAL DISABILITY;WIEDEMANN-STEINER SYNDROME;MENTAL RETARDATION, AUTOSOMAL DOMINANT 19		DDD:43x;DDD:37x;DDD:12x	DDD	DDD:43x;DDD:37x;DDD:12x
30	HP:0040295	Duplication of the upper lip	10						
